Error, skipping invalid data!
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Error, skipping invalid data!
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Error, skipping invalid data!
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 1 12 Coin
Error, skipping invalid data!
Error, skipping invalid data!
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 1 12 Coin
Error, skipping invalid data!
Error, skipping invalid data!
Note 2 23 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 4 33 Coin
Note 5 23 Coin
Note 5 45 Coin
Error, skipping invalid data!
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 33 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 4 33 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 4 33 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 4 33 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 3 34 Coin
Note 4 33 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 4 33 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 0 0 Coin
Note 1 12 Coin
Note 2 23 Coin
Note 4 33 Coin
Note 3 34 Coin
Note 4 65 Coin
Note 5 23 Coin
Note 5 45 Coin
Note 5 45 Coin
Note 5 23 Coin
Note 4 65 Coin
Note 3 34 Coin
Note 2 23 Coin
Note 1 12 Coin
Note 0 0 Coin
Note 4 33 Coin
